,,,,,,0 K,298.15 K (25 °C) and 0.1 Mpa (1 bar),,,,,
FeCl<sup>2+</sup>,,,,ao,91.3000,-,-180.3,-143.9,-,-113.,-,
FeCl2,,,,cr,126.7530,-344.398,-341.79,-302.30,16.272,117.95,76.65,
FeCl2,,,,g,126.7530,-,-148.5,-,-,-,-,
FeCl2,,,,ai,126.7530,-,-423.4,-341.34,-,-24.7,-,
FeCl2,,,,ao,126.7530,-,-,-279.1,-,-,-,
FeCl2,in 25 H2O,,,,126.7530,-,-412.46,-,-,-,-,
FeCl2,in 50 H2O,,,,126.7530,-,-416.02,-,-,-,-,
FeCl2,in 100 H2O,,,,126.7530,-,-417.90,-,-,-,-,
FeCl2,in 250 H2O,,,,126.7530,-,-419.2,-,-,-,-,
FeCl2,in 500 H2O,,,,126.7530,-,-419.74,-,-,-,-,
FeCl2,in 1000 H2O,,,,126.7530,-,-419.99,-,-,-,-,
FeCl2,in 8000 H2O,,,,126.7530,-,-423.4,-,-,-,-,
FeCl2<sup>+</sup>,,,,g,126.7530,-,854.,-,-,-,-,
FeCl2·2H2O,,,,cr,162.7838,-,-953.1,-,-,-,-,
FeCl2·4H2O,,,,cr,198.8146,-,-1549.3,-,-,-,-,
FeCl3,,,,cr,162.2060,-400.944,-399.49,-334.00,19.707,142.3,96.65,
FeCl3,,,,g,162.2060,-,-254.0,-,-,-,-,
FeCl3,,,,ai,162.2060,-,-550.2,-398.3,-,-146.4,-,
FeCl3,,,,ao,162.2060,-,-,-404.5,-,-,-,
FeCl3,in 600 H2O,,,,162.2060,-,-530.9,-,-,-,-,
FeCl3,in 1500 H2O,,,,162.2060,-,-533.0,-,-,-,-,
FeCl3,in 2000 H2O,,,,162.2060,-,-533.5,-,-,-,-,
FeCl3,in 15000 H2O,,,,162.2060,-,-531.4,-,-,-,-,
FeCl3,in 25000 H2O,,,,162.2060,-,-523.8,-,-,-,-,
FeCl3,in 50000 H2O,,,,162.2060,-,-518.8,-,-,-,-,
FeCl3,in 70000 H2O,,,,162.2060,-,-516.7,-,-,-,-,
FeCl3,in 13.5 HCl + 1500 H2O,,,,162.2060,-,-528.9,-,-,-,-,
FeCl3,in 27.0 HCl + 1500 H2O,,,,162.2060,-,-524.7,-,-,-,-,
FeCl3,in 54.0 HCl + 1500 H2O,,,,162.2060,-,-517.1,-,-,-,-,
FeCl3,in 81.0 HCl + 1500 H2O,,,,162.2060,-,-510.0,-,-,-,-,
FeCl3,in 108 HCl + 1500 H2O,,,,162.2060,-,-503.8,-,-,-,-,
FeCl3,in 135 HCl + 1500 H2O,,,,162.2060,-,-497.5,-,-,-,-,
FeCl3,in 215 HCl + 1500 H2O,,,,162.2060,-,-481.2,-,-,-,-,
FeCl3,in 270 HCl + 1500 H2O,,,,162.2060,-,-467.8,-,-,-,-,
FeCl3,in 325 HCl + 1500 H2O,,,,162.2060,-,-457.3,-,-,-,-,
FeCl3,in 380 HCl + 1500 H2O,,,,162.2060,-,-448.1,-,-,-,-,
FeCl3,in 430 HCl + 1500 H2O,,,,162.2060,-,-440.2,-,-,-,-,
FeCl3,in SiCl4:x,,,,162.2060,-,-372.8,-302.29,-,125.5,-,
FeCl3,in C2H5OH:u,,,,162.2060,-,-472.4,-,-,-,-,
FeCl3·6H2O,,,,cr,270.2984,-,-2223.8,-,-,-,-,
(FeCl2)2,,,,g,253.5060,-,-439.,-,-,-,-,
Fe2Cl6,,,,g,324.4120,-,-654.8,-,-,-,-,
FeOCl,,,,cr,107.2994,-,-377.0,-,-,-,-,
FeClO4<sup>2+</sup>,,,,ao,155.2976,-,-,-17.,-,-,-,
Fe(ClO4)2,,,,ai,254.7482,-,-347.7,-95.94,-,226.4,-,
Fe(ClO4)2,in 200 H2O,,,,254.7482,-,-346.0,-,-,-,-,
Fe(ClO4)2,in 500 H2O,,,,254.7482,-,-347.3,-,-,-,-,
Fe(ClO4)2,in 1000 H2O,,,,254.7482,-,-347.7,-,-,-,-,
Fe(ClO4)2·6H2O,,,,cr,362.8406,-,-2068.6,-,-,-,-,
FeBr<sup>2+</sup>,,,,ao,135.7560,-,-144.8,-112.2,-,-138.,-,
FeBr2,,,,cr,215.6650,-,-249.8,-238.1,-,140.6,-,
FeBr2,,,,g,215.6650,-,-46.,-,-,-,-,
FeBr2,,,,ai,215.6650,-,-332.2,-286.81,-,27.2,-,
FeBr2,in 1650 H2O,,,,215.6650,-,-336.4,-,-,-,-,
FeBr2,in 11500 H2O,,,,215.6650,-,-333.9,-,-,-,-,
FeBr2,in HCl + 26.66 H2O:u,,,,215.6650,-,-330.1,-,-,-,-,
FeBr3,,,,cr,295.5740,-,-268.2,-,-,-,-,
FeBr3,,,,g,295.5740,-,-123.8,-,-,-,-,
FeBr3,,,,ai,295.5740,-,-413.4,-316.7,-,-68.6,-,
FeBr3,in 10000 H2O,,,,295.5740,-,-390.4,-,-,-,-,
FeBr3,in 20000 H2O,,,,295.5740,-,-387.9,-,-,-,-,
FeBr3,in 40000 H2O,,,,295.5740,-,-372.4,-,-,-,-,
(FeBr2)2,,,,g,431.3300,-,-264.,-,-,-,-,
Fe2Br6,,,,g,591.1480,-,-394.6,-,-,-,-,
FeBrCl2,,,,cr,206.6620,-,-348.9,-,-,-,-,
FeBrCl2,,,,ai,206.6620,-,-504.6,-371.1,-,-120.5,-,
FeBrCl2,in 10000 H2O,,,,206.6620,-,-481.2,-,-,-,-,
FeBrCl2,in 15000 H2O,,,,206.6620,-,-477.4,-,-,-,-,
FeBrCl2,in 20000 H2O,,,,206.6620,-,-474.9,-,-,-,-,
FeBrCl2,in 40000 H2O,,,,206.6620,-,-469.9,-,-,-,-,
FeBrCl2,in 50000 H2O,,,,206.6620,-,-467.8,-,-,-,-,
FeI<sup>2+</sup>,,,,ao,182.7514,-,-,-67.0,-,-,-,
FeI2,,,,cr,309.6558,-,-113.0,-,-,-,-,
FeI2,,,,g,309.6558,-,60.7,-,-,-,-,
FeI2,,,,ai,309.6558,-,-199.6,-182.05,-,84.9,-,
FeI2,in HCl + 26.66 H2O:u,,,,309.6558,-,-192.5,-,-,-,-,
FeI3,,,,g,436.5602,-,71.,-,-,-,-,
FeI3,,,,ai,436.5602,-,-214.2,-159.4,-,18.0,-,
(FeI2)2,,,,g,619.3116,-,29.,-,-,-,-,
Fe2I6,,,,g,873.1204,-,17.,-,-,-,-,
Fe1.000S,,,"iron-rich pyrrhotite, α",cr,87.9110,-100.46,-100.0,-100.4,9.351,60.29,50.54,
FeS2,,,pyrite,cr,119.9750,-174.56,-178.2,-166.9,9.632,52.93,62.17,
FeS2,,,markasite,cr2,119.9750,-,-154.8,-,-,-,-,
Fe7S8,,,sulphur-rich pyrrhotite,cr,647.4410,-743.41,-736.4,-748.5,73.72,485.8,398.57,
FeSO4,,,,cr,151.9086,-,-928.4,-820.8,-,107.5,100.58,
FeSO4,,,,ai,151.9086,-,-998.3,-823.43,-,-117.6,-,
FeSO4<sup>+</sup>,,,,ao,151.9086,-,-931.8,-772.7,-,-130.,-,
FeSO4<sup>+</sup>,in 200 H2O,,,,151.9086,-,-992.0,-,-,-,-,
FeSO4<sup>+</sup>,in 40000 H2O,,,,151.9086,-,-995.0,-,-,-,-,
FeSO4·H2O,,,,cr,169.9240,-,-1243.69,-,-,-,-,
FeSO4·4H2O,,,,cr,223.9702,-,-2129.2,-,-,-,-,
FeSO4·7H2O,,,,cr,278.0164,-,-3014.57,-2509.87,-,409.2,394.47,
Fe(SO4)2<sup>-</sup>,,,,ao,247.9702,-,-,-1524.5,-,-,-,
Fe2(SO4)3,,,,cr,399.8788,-,-2581.5,-,-,-,-,
Fe2(SO4)3,,,,ai,399.8788,-,-2825.0,-2242.8,-,-571.5,-,
Fe2(SO4)3,in 400 H2O,,,,399.8788,-,-2732.2,-,-,-,-,
Fe2(SO4)3,in 1000 H2O,,,,399.8788,-,-2733.0,-,-,-,-,
Fe2(SO4)3,in 2000 H2O,,,,399.8788,-,-2733.8,-,-,-,-,
Fe2(SO4)3,in 3000 H2O,,,,399.8788,-,-2734.7,-,-,-,-,
Fe2(SO4)3,in HClO4 + 53.7 H2O:u,,,,399.8788,-,-2799.,-,-,-,-,
Fe2(SO4)3,in H2SO4 + 220 H2O:u,,,,399.8788,-,-2791.,-,-,-,-,
Fe(HSO4)3,in 600 H2O,,,,347.0558,-,-2705.0,-,-,-,-,
FeSe,,,,cr,134.8070,-,-75.3,-,-,-,-,
FeSe,,,,am,134.8070,-,-63.6,-,-,-,-,
Fe1.042Se,,,x denotes undetermined zero-point entropy,cr,137.1526,-,-,-,10.824,72.09+x,57.11,
FeSe2,,,,cr,213.7670,-,-,-,13.728,86.82,72.89,
Fe3Se4,,,,cr,483.3810,-,-,-,41.602,279.78,220.08,
Fe7Se8,,,,cr,1022.6090,-,-,-,87.57,613.8,442.2,
FeTe,,,,cr,183.4470,-,-62.8,-,-,-,-,
Fe1.111Te,,,x denotes undetermined zero-point entropy,cr,189.6460,-,-,-,11.945,88.99+x,55.02,
FeTe2,,,ε phase,cr,311.0470,-,-,-,14.924,100.16,73.64,
FeN3<sup>2+</sup>,,,,ao,97.8671,-,220.1,315.9,-,-137.2,-,
Fe4N,,,,cr,237.3947,-,-10.5,3.8,-,155.,-,
FeNO<sup>2+</sup>,,,,ao,85.8531,-,-9.2,82.8,-,-213.,-,
FeNO3<sup>2+</sup>,,,,ao,117.8519,-,-,-121.7,-,-,-,
Fe(NO3)3,,,,ai,241.8617,-,-670.7,-338.3,-,123.4,-,
Fe(NO3)3,,,,aq,241.8617,-,-674.9,-,-,-,-,
Fe(NO3)3·9H2O,,,,cr,404.0003,-,-3285.3,-,-,-,-,
FeNOCl2,,,,aq,156.7591,-,-374.9,-,-,-,-,
FeCl2·NH3,,,,cr,143.7837,-,-480.3,-,-,-,-,
FeCl2·2NH3,,,,cr,160.8144,-,-605.0,-,-,-,-,
FeCl2·6NH3,,,,cr,228.9372,-,-993.7,-,-,-,-,
FeCl3·6NH3,,,,cr,264.3902,-,-894.1,-,-,-,-,
FeCl2·10NH3,,,,cr,297.0600,-,-1292.4,-,-,-,-,
FeBr2·NH3,,,,cr,232.6957,-,-381.2,-,-,-,-,
FeBr2·2NH3,,,,cr,249.7264,-,-508.4,-,-,-,-,
FeBr2·6NH3,,,,cr,317.8492,-,-915.5,-,-,-,-,
FeBr3·6NH3,,,,cr,397.7582,-,-824.7,-,-,-,-,
FeI2·2NH3,,,,cr,343.7172,-,-385.3,-,-,-,-,
FeI2·6NH3,,,,cr,411.8400,-,-808.3,-,-,-,-,
Fe(NO)SO4,,,,aq,181.9147,-,-944.7,-,-,-,-,
FeSO4·NH3,,,,cr,168.9393,-,-1060.2,-,-,-,-,
FeSO4·2NH3,,,,cr,185.9700,-,-1181.1,-,-,-,-,
FeSO4·3NH3,,,,cr,203.0007,-,-1286.2,-,-,-,-,
FeSO4·4NH3,,,,cr,220.0314,-,-1389.1,-,-,-,-,
FeSO4·6NH3,,,,cr,254.0928,-,-1587.8,-,-,-,-,
FeP,,,,cr,86.8208,-,-126.,-,-,-,-,
FeP2,,,,cr,117.7946,-,-192.,-,-,-,-,
Fe2P,,,,cr,142.6678,-,-163.,-,-,-,-,
Fe3P,,,,cr,198.5148,-,-163.,-,-,-,-,
FePO4,,,,cr,150.8184,-,-1297.5,-,-,-,-,
FePO4·2H2O,,,strengite,cr,186.8492,-1863.05,-1888.2,-1657.5,27.644,171.25,180.54,
FeAsS,,,,cr,162.8326,-,-42.,-50.,-,121.,-,
FeSb,,,,cr,177.5970,-,-10.0,-,-,-,-,
FeSb2,,,,cr,299.3470,-,-15.1,-,-,-,-,
Fe3C,,,"α, cementite",cr,179.5522,-,25.1,20.1,-,104.6,105.9,
FeCO3,,,siderite,cr,115.8564,-,-740.57,-666.67,-,92.9,82.13,
FeC2O4·2H2O,,oxalate,,cr,179.8978,-,-1482.4,-,-,-,-,
Fe(CO)5,,,,l,195.9000,-,-774.0,-705.3,-,338.1,240.6,
Fe(CO)5,,,,g,195.9000,-,-733.9,-697.21,-,445.3,-,
Fe(CO)5<sup>+</sup>,,,,g,195.9000,-,40.2,-,-,-,-,
Fe2(C2O4)3,,,,ai,375.7540,-,-2572.3,-2031.1,-,-495.0,-,
Fe2(C2O4)3,in 100 H2O,,,,375.7540,-,-2559.8,-,-,-,-,
Fe(HC2O4)3,,,,aq,322.9310,-,-2512.9,-,-,-,-,
Fe(CH3COO)3,,acetate,,ai,232.9826,-,-1506.7,-1112.7,-,-56.1,-,
Fe(CH3COO)3,in 300 H2O,,,,232.9826,-,-1473.6,-,-,-,-,
Fe(CH3COO)3,in 600 H2O,,,,232.9826,-,-1472.3,-,-,-,-,
Fe(CH3COO)3,in 1200 H2O,,,,232.9826,-,-1470.3,-,-,-,-,
Fe(CH3COO)3,in 2000 H2O,,,,232.9826,-,-1466.9,-,-,-,-,
Fe(CO)4Br2,,,,cr,327.7074,-,-807.1,-,-,-,-,
Fe(CO)4Br2,in 1700 H2O,,,,327.7074,-,-774.9,-,-,-,-,
Fe(CO)4I2,,,,cr,421.6982,-,-735.1,-,-,-,-,
Fe(CN)6<sup>3-</sup>,,,,ao,211.9544,-,561.9,729.4,-,270.3,-,
Fe(CN)6<sup>4-</sup>,,,,ao,211.9544,-,455.6,695.08,-,95.0,-,
Fe4(Fe(CN)6)3,,,,cr,859.2512,-,1184.,-,-,-,-,
FeCO(CN)5<sup>3-</sup>,,,,ao,213.9471,-,192.9,-,-,-,-,
Fe2CO(CN)5,,,,cr,269.7941,-,414.,-,-,-,-,
Fe(NH2CH2CH2NH2)<sup>2+</sup>,in KCl + 55 H2O:u,ethylenediamine,,,115.9468,-,-204.8*,-,-,-,-,
HFe(CN)6<sup>3-</sup>,,,,ao,212.9624,-,455.6,671.28,-,176.,-,
H2Fe(CN)6<sup>2-</sup>,,,,ao,213.9704,-,455.6,658.60,-,218.,-,
H3Fe(CN)6,,,,aq,214.9784,-,568.6,-,-,-,-,
H3Fe(CN)6<sup>-</sup>,,,,ao,214.9784,-,455.6,-,-,-,-,
H4Fe(CN)6,,,,cr,215.9864,-,462.8,-,-,-,-,
H4Fe(CN)6,,,,aq,215.9864,-,461.1,-,-,-,-,
(NH4)4Fe(CN)6,,,,aq,284.1092,-,-61.9,-,-,-,-,
(NH4)4Fe(CN)6·6H2O,,,,cr,392.2016,-,-1802.9,-,-,-,-,
HFeCO(CN)5<sup>2-</sup>,,,,ao,214.9551,-,192.5,-,-,-,-,
H2FeCO(CN)5<sup>-</sup>,,,,ao,215.9631,-,193.7,-,-,-,-,
H3FeCO(CN)5,,,,aq,216.9711,-,197.,-,-,-,-,
H3FeCO(CN)5·H2O,,,,cr,234.9865,-,-67.,-,-,-,-,
FeSCN<sup>2+</sup>,,,,ao,113.9289,-,23.4,71.1,-,-130.,-,
FeSi,,,,cr,83.9330,-73.93,-73.6,-73.6,7.99,46.0,47.7,
FeSi2,,,β-lebeanite,cr,112.0190,-80.29,-81.2,-78.2,10.04,55.6,66.07,
FeSi2.33,,,α-lebeanite,cr,121.2874,-58.70,-59.,-59.,12.09,69.5,73.72,
Fe3Si,,,,cr,195.6270,-94.35,-93.7,-94.6,17.32,103.8,98.32,
Fe5Si3,,,,cr,363.4930,-,-,-,34.56,209.6,199.6,
FeSiO3,,,,cr,131.9312,-,-1205.,-,-,-,-,
Fe2SiO4,,,fayalite,cr,203.7776,-,-1479.9,-1379.0,-,145.2,132.88,
(FeI2)2·PbI2,,,,cr,1080.3104,-,-425.1,-,-,-,-,
Pb2Fe(CN)6·3H2O,,,,cr,680.3806,-,-,-168.0,-,-,-,
FeAl,,,,cr,82.8285,-,-50.2,-,-,-,-,
FeAl2,,,,cr,109.8100,-,-79.1,-,-,-,-,
FeAl3,,,,cr,136.7915,-,-111.3,-,-,-,-,
FeAl2O4,,,,cr,173.8076,-,-1995.3,-1879.8,-,106.3,123.55,
TlFe(CN)6<sup>3-</sup>,,,,ao,416.3244,-,464.8,644.9,-,292.9,-,
TI4Fe(CN)6·2H2O,,,,cr,1065.4652,-,-,26.6,-,-,-,
ZnFe2O4,,,,cr,241.0616,-1161.27,-1169.4,-1063.5,23.811,151.67,142.97,
Zn2Fe(CN)6·2H2O,,,,cr,378.7252,-,-,-163.0,-,-,-,
CdFe2O4,,,,cr,288.0916,-,-1069.8,-,-,-,-,
Cd2Fe(CN)6·7H2O,,,,cr,562.8622,-,-,-1219.6,-,-,-,
CuFeO2,,,,cr,151.3858,-,-532.6,-479.9,-,88.7,80.04,
CuFe2O4,,,,cr,239.2316,-,-965.21,-858.74,-,141.0,148.62,
Cu0.75Fe2.25O4,,,,cr,237.3083,-,-,-,-,151.5,151.17,
Cu2Fe(CN)6,,,,cr,339.0344,-,-,736.5,-,-,-,
Ag4Fe(CN)6·H2O,,,,cr,661.4498,-,-,514.8,-,-,-,
NiFe2O4,,,,cr,234.4016,-1072.07,-1081.1,-973.1,22.066,131.8,145.60,
Ni0.4Zn0.6Fe2O4N0.1,,,,cr,238.3976,-,-,-,24.016,149.8,150.21,
Ni0.3Zn0.7Fe2O4N0.2,,,,cr,239.0636,-,-,-,24.150,153.1,148.70,
Ni0.2Zn0.8Fe2O4N0.3,,,,cr,239.7296,-,-,-,24.037,154.4,145.27,
Ni0.1Zn0.9Fe2O4N0.4,,,,cr,240.3956,-,-,-,23.489,154.0,141.80,
FeCo2O4,,,,cr,237.7110,-,-,-,21.874,125.5,143.26,
CoFe2O4,,,,cr,234.6248,-1132.11,-1139.7,-1032.5,23.476,134.7,152.84,
Table 42:Pb,,,,,,,,,,,,
Palladium (Prepared 1968),,,,,,,,,,,,
Pd,,,,cr,106.4000,0,0,0,5.435,37.57,25.98,
Pd,,,,g,106.4000,377.4,378.2,339.7,6.197,167.05,20.786,
Pd<sup>+</sup>,,,,g,106.4000,1181.712,1188.746,-,6.197,-,-,
Pd<sup>2+</sup>,,,,g,106.4000,3056.4,3069.4,-,6.197,-,-,
Pd<sup>3+</sup>,,,,g,106.4000,6234.,6251.,-,-,-,-,
Pd<sup>2+</sup>,,,,ao,106.4000,-,149.0,176.5,-,-184.,-,
PdO,,,,cr,122.3994,-,-85.4,-,-,-,31.4,
PdO,,,,g,122.3994,-,348.9,325.9,-,218.,-,
Pd2H,,,,cr,213.8080,-,-19.7,-,-,-,-,
Pd(OH)2,,,precipitated,cr,140.4148,-,-395.0,-,-,-,-,
Pd(OH)4,,,precipitated,cr,174.4296,-,-715.9,-,-,-,-,
PdCl<sup>+</sup>,,,,ao,141.8530,-,-38.,22.6,-,-117.,-,
PdCl2,,,,cr,177.3060,-,-198.7,-,-,-,-,
PdCl2,,,,ao,177.3060,-,-,-128.8,-,-,-,
PdCl3<sup>-</sup>,,,,ao,212.7590,-,-,-276.1,-,-,-,
PdCl4<sup>2-</sup>,in HCl + 54.3 H2O:ao,,,,248.2120,-,-550.2,-417.1,-,167.,-,
PdCl6<sup>2-</sup>,in HCl + 54.3 H2O:ao,,,,319.1180,-,-598.,-430.0,-,272.,-,
H2PdCl4,,,,aq,250.2280,-,-551.9,-,-,-,-,
PdBr2,,,,cr,266.2180,-,-104.2,-,-,-,-,
PdBr3<sup>-</sup>,,,,ao,346.1270,-,-,-204.2,-,-,-,
PdBr4<sup>2-</sup>,,,,ao,426.0360,-,-384.9,-318.0,-,247.,-,
PdBr6<sup>2-</sup>,,,,ao,585.8540,-,-,-335.1,-,-,-,
PdI2,,,,cr,360.2088,-,-63.2,-71.5,-,180.,-,
PdI4<sup>2-</sup>,,,,ao,614.0176,-,-,-159.0,-,-,-,
PdI6<sup>2-</sup>,,,,ao,867.8264,-,-,-170.3,-,-,-,
PdS,,,,cr,138.4640,-,-75.,-67.,-,46.,-,
PdS2,,,,cr,170.5280,-,-81.2,-74.5,-,79.,-,
Pd4S,,,,cr,457.6640,-,-67.,-67.,-,180.,-,
PdTe,,,,cr,234.0000,-,-,-,11.744,89.62,51.17,
PdTe2,,,,cr,361.6000,-,-,-,17.096,126.57,76.61,
Pd(NO2)4<sup>2-</sup>,,,,ao,290.4220,-,-,-68.0,-,-,-,
Pd(NH3)4<sup>2+</sup>,,,,ao,174.5228,-,-,-75.,-,-,-,
Pd(N3)2Cl2<sup>2-</sup>,,,,ao,261.3462,-,-,557.,-,-,-,
PdCl2·2NH3,,,,cr,211.3674,-,-460.,-,-,-,-,
PdCl2·4NH3,,,,cr,245.4288,-,-686.,-,-,-,218.8,
PdI2·2NH3,,,,cr,394.2702,-,-297.,-,-,-,-,
PdI2·4NH3,,,,cr,428.3316,-,-498.7,-,-,-,-,
PdSb,,,,cr,228.1500,-,-,-,-,-,49.8,
PdSb2,,,,cr,349.9000,-,-,-,-,-,72.0,
Pd3Sb,,,,cr,440.9500,-,-,-,-,-,97.1,
PdCl3(C2H4)<sup>-</sup>,,ethylene,,ao,240.8134,-,-370.3,-210.3,-,176.,-,
PdCN<sup>+</sup>,,,,ao,132.4179,-,-,289.,-,-,-,
Pd(CN)2,,,,cr,158.4358,-,205.4,-,-,-,-,
Pd(CN)4<sup>2-</sup>,,,,ao,210.4716,-,-,628.,-,-,-,
Pd(CNS)2,,,,cr,222.5638,-,-,234.3,-,-,-,
Pd(CNS)2,,,,ao,222.5638,-,-,314.3,-,-,-,
Pd(CNS)4<sup>2-</sup>,,,,ao,338.7276,-,-,410.5,-,-,-,
PdI2(CNS)<sup>-</sup>,,,,ao,418.2907,-,-,23.9,-,-,-,
AuPd,,,,g,303.3670,611.,607.10,-,7.66,-,36.8,
Table 43:Rh,,,,,,,,,,,,
Rhodium (Prepared 1968),,,,,,,,,,,,
Rh,,,,cr,102.9050,0,0,0,4.912,31.51,24.98,
Rh,,,,g,102.9050,555.59,556.9,510.8,6.205,185.808,21.012,
Rh<sup>+</sup>,,,,g,102.9050,1283.11,1290.60,-,6.197,-,-,
Rh<sup>2+</sup>,,,,g,102.9050,3027.1,3040.9,-,6.197,-,-,
Rh<sup>3+</sup>,,,,g,102.9050,6025.,6042.,-,-,-,-,
RhO,,,,g,118.9044,-,385.,-,-,-,-,
RhO<sup>+</sup>,,,,g,118.9044,-,1289.,-,-,-,-,
RhO2,,,,g,134.9038,-,184.,-,-,-,-,
RhO2<sup>+</sup>,,,,g,134.9038,-,1155.,-,-,-,-,
Rh2O3,,,,cr,253.8082,-,-343.,-,-,-,103.8,
RhCl2,,,,g,173.8110,-,126.8,-,-,-,-,
RhCl3,,,,cr,209.2640,-,-299.2,-,-,-,-,
RhCl3,,,,g,209.2640,-,66.9,-,-,-,-,
RhCl6<sup>3-</sup>,,,,ao,315.6230,-,-848.5,-,-,-,-,
RhCl3·3(C2H5)2S,,,,cr,415.7024,-,-695.,-,-,-,-,
Table 44:Ru,,,,,,,,,,,,
Ruthenium (Prepared 1968),,,,,,,,,,,,
Ru,,,,cr,101.0700,0,0,0,4.602,28.53,24.06,
Ru,,,,g,101.0700,641.031,642.7,595.8,6.234,186.507,21.522,
Ru<sup>+</sup>,,,,g,101.0700,1342.48,1350.30,-,6.205,-,-,
Ru<sup>2+</sup>,,,,g,101.0700,2959.8,2974.0,-,6.238,-,-,
RuH<sup>3+</sup>,,,,g,101.0700,5707.,5728.,-,-,-,-,
RuO2,,,,cr,133.0688,-,-305.0,-,-,-,-,
RuO2,,,hydrated,am,133.0688,-,-,-214.6,-,-,-,
RuO3,,,,g,149.0682,-,-78.2,-,-,-,-,
RuO4,,,,cr,165.0676,-,-239.3,-152.2,-,146.4,-,
RuO4,,,,l,165.0676,-,-228.4,-152.2,-,183.3,-,
RuO4,,,,g,165.0676,-177.86,-184.1,-139.7,15.73,290.1,75.90,
RuO4,,,,ao,165.0676,-,-239.7,-147.2,-,130.,-,
RuO4<sup>-</sup>,,,,ao,165.0676,-,-,-245.5,-,-,-,
RuO4<sup>2-</sup>,,,,ao,165.0676,-,-,-303.7,-,-,-,
Ru(OH)2<sup>2+</sup>,,,,ao,135.0848,-,-,-213.,-,-,-,
RuF5,,,,cr,196.0620,-,-892.9,-,-,-,-,
RuF5,,,,g,196.0620,-,-791.,-,-,-,-,
RuCl3,,,black,cr,207.4290,-,-205.,-,-,-,-,
RuCl3,,,,g,207.4290,-,-1.3,-,-,-,-,
RuCl4,,,,g,242.8820,-,-51.9,-,-,-,-,
RuCl5(OH)<sup>2-</sup>,,,,ao,295.3424,-,-,-705.7,-,-,-,
RuBr3,,,,cr,340.7970,-,-138.,-,-,-,-,
RuI3,,,,cr,481.7832,-,-65.7,-,-,-,-,
RuS2,,,,cr,165.1980,-,-197.,-,-,-,-,
RuCl3·3(C2H5)2S,,,,cr,413.8674,-,-632.,-,-,-,-,
(RuCl3·2(C2H5)2S)2,,,,cr,711.4852,-,-1088.,-,-,-,-,
Table 45:Pt,,,,,,,,,,,,
Platinum (Prepared 1968),,,,,,,,,,,,
Pt,,,,cr,195.0900,0,0,0,5.740,41.63,25.86,
Pt,,,,g,195.0900,564.42,565.3,520.5,6.577,192.406,25.531,
Pt<sup>+</sup>,,,,g,195.0900,1395.4,1402.1,-,6.197,-,-,
Pt<sup>2+</sup>,,,,g,195.0900,3186.5,3199.1,-,-,-,-,
Pt<sup>2+</sup>,,,,ao,195.0900,-,-,254.8,-,-,-,
PtO2,,,,g,227.0888,-,171.5,167.8,259.,-,-,
Pt3O4,,,,cr,649.2676,-,-163.,-,-,-,-,
Pt(OH)2,,,,cr,229.1048,-,-351.9,-,-,-,-,
PtF6,,,cubic,cr,309.0804,-,-,-,-,235.6,-,
PtF6,,,,g,309.0804,-,-,-,23.757,348.34,122.80,
PtCl,,,,cr,230.5430,-,-56.5,-,-,-,-,
PtCl2,,,,cr,265.9960,-,-123.4,-,-,-,-,
PtCl2,,,,ao,265.9960,-,-,-73.2,-,-,-,
PtCl3,,,,cr,301.4490,-,-182.0,-,-,-,-,
PtCl3<sup>-</sup>,,,,ao,301.4490,-,-,-221.7,-,-,-,
PtCl4,,,,cr,336.9020,-,-231.8,-,-,-,-,
PtCl4,,,,aq,336.9020,-,-314.2,-,-,-,-,
PtCl4·5H2O,,,,cr,426.9790,-,-1752.7,-,-,-,-,
PtCl4<sup>2-</sup>,,,,ao,336.9020,-,-499.2,-361.4,-,155.,-,
PtCl6<sup>2-</sup>,,,,ao,407.8080,-,-668.2,-482.7,-,219.7,-,
HPtCl5·2H2O,,,,cr,409.3938,-,-1012.5,-,-,-,-,
H2PtCl6,,,,ai,409.8240,-,-668.2,-482.7,-,219.7,-,
H2PtCl6,in 600 H2O,,,,409.8240,-,-676.1,-,-,-,-,
H2PtCl6·6H2O,,,,cr,517.9164,-,-2371.1,-,-,-,-,
(PtCl2(OH)2)<sup>2-</sup>,,,,ao,300.0108,-,-,-470.6,-,-,-,
(PtCl2(OH)(H2O))<sup>-</sup>,,,,ao,301.0188,-,-,-517.8,-,-,-,
(PtCl2(H2O)2),,,,ao,302.0268,-,-,-547.6,-,-,-,
(PtCl3(OH))<sup>2-</sup>,,,,ao,318.4564,-,-,-418.3,-,-,-,
(PtCl3(H2O))<sup>-</sup>,,,,ao,319.4644,-,-,-458.5,-,-,-,
PtBr,,,,cr,274.9990,-,-38.5,-,-,-,-,
PtBr2,,,,cr,354.9080,-,-82.0,-,-,-,-,
PtBr3,,,,cr,434.8170,-,-120.9,-,-,-,-,
PtBr3<sup>-</sup>,,,,ao,434.8170,-,-,-144.8,-,-,-,
PtBr4,,,,cr,514.7260,-,-156.5,-,-,-,-,
PtBr4,in 7000 H2O,,,,514.7260,-,-197.9,-,-,-,-,
PtBr4<sup>2-</sup>,,,,ao,514.7260,-,-368.2,-262.7,-,121.,-,
PtBr6<sup>2-</sup>,,,,ao,674.5440,-,-470.7,-332.2,-,121.,-,
H2PtBr6,,,,aq,676.5600,-,-470.7,-,-,-,-,
